dataset,detector,policy,options,length,ability,mechanism,sheet_i,has_shift,accepted,matched,outcome,confidence,brier,mse,naive_score,true_score,final_score,at_stake,saved,withheld,unearned
metrics,gated,metrics,ABCD,46,0.26,whole_section,2,1,0,0,FN,0.000312,0.999376,0.000312,14,14,14,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,whole_section,3,1,0,0,FN,0.000434,0.999132,0.000434,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,whole_section,4,1,0,0,FN,0.000142,0.999717,0.000142,19,15,19,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,whole_section,5,1,0,0,FN,0.000438,0.999123,0.000438,19,23,19,4,0,4,0
metrics,gated,metrics,ABCD,46,0.26,whole_section,6,1,0,0,FN,0.000428,0.999144,0.000428,12,15,12,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,whole_section,7,1,0,0,FN,0.000373,0.999254,0.000373,14,14,14,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,anxiety,0,1,0,0,FN,0.001046,0.997908,0.001046,10,11,10,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,anxiety,1,1,0,0,FN,0.000415,0.99917,0.000415,11,13,11,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,anxiety,2,1,0,0,FN,0.000546,0.998908,0.000546,19,21,19,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,anxiety,3,1,0,0,FN,0.00051,0.99898,0.00051,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,anxiety,4,1,0,0,FN,0.000418,0.999165,0.000418,14,13,14,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,anxiety,5,1,0,0,FN,0.000455,0.999089,0.000455,9,11,9,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,anxiety,6,1,0,0,FN,0.000322,0.999357,0.000322,12,10,12,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,anxiety,7,1,0,0,FN,0.000402,0.999197,0.000402,8,6,8,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,double_shift,0,1,0,0,FN,0.000772,0.998457,0.000772,11,15,11,4,0,4,0
metrics,gated,metrics,ABCD,46,0.26,double_shift,1,1,0,0,FN,0.000419,0.999161,0.000419,13,12,13,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,double_shift,2,1,0,0,FN,0.000988,0.998024,0.000988,5,13,5,8,0,8,0
metrics,gated,metrics,ABCD,46,0.26,double_shift,3,1,0,0,FN,0.000233,0.999534,0.000233,17,12,17,0,0,0,5
metrics,gated,metrics,ABCD,46,0.26,double_shift,4,1,0,0,FN,0.000384,0.999231,0.000384,12,15,12,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,double_shift,5,1,0,0,FN,0.003703,0.992607,0.003703,21,31,21,10,0,10,0
metrics,gated,metrics,ABCD,46,0.26,double_shift,6,1,0,0,FN,0.00044,0.999121,0.00044,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,double_shift,7,1,0,0,FN,0.000359,0.999282,0.000359,13,9,13,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,self_corrected,0,1,0,0,FN,0.000383,0.999234,0.000383,10,6,10,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,self_corrected,1,1,0,0,FN,0.000468,0.999064,0.000468,9,11,9,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,self_corrected,2,1,0,0,FN,0.000608,0.998784,0.000608,12,18,12,6,0,6,0
metrics,gated,metrics,ABCD,46,0.26,self_corrected,3,1,0,0,FN,0.000356,0.999289,0.000356,13,14,13,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,self_corrected,4,1,0,0,FN,0.000225,0.99955,0.000225,16,12,16,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,self_corrected,5,1,0,0,FN,0.000327,0.999347,0.000327,12,11,12,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,self_corrected,6,1,0,0,FN,0.000476,0.999048,0.000476,6,4,6,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,self_corrected,7,1,0,0,FN,0.003797,0.99242,0.003797,26,34,26,8,0,8,0
metrics,gated,metrics,ABCD,46,0.26,deferred,0,1,0,0,FN,0.000432,0.999137,0.000432,9,12,9,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,deferred,1,1,0,0,FN,0.00042,0.999159,0.00042,12,14,12,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,deferred,2,1,0,0,FN,0.000538,0.998925,0.000538,7,14,7,7,0,7,0
metrics,gated,metrics,ABCD,46,0.26,deferred,3,1,0,0,FN,0.000253,0.999495,0.000253,16,16,16,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,deferred,4,1,0,0,FN,0.000407,0.999185,0.000407,12,11,12,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,deferred,5,1,0,0,FN,0.000426,0.999148,0.000426,9,13,9,4,0,4,0
metrics,gated,metrics,ABCD,46,0.26,deferred,6,1,0,0,FN,0.000226,0.999549,0.000226,16,12,16,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,deferred,7,1,0,0,FN,0.000317,0.999367,0.000317,17,19,17,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,isolated,0,1,0,0,FN,0.000512,0.998977,0.000512,10,11,10,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,isolated,1,1,0,0,FN,0.000463,0.999074,0.000463,7,7,7,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,isolated,2,1,0,0,FN,0.000642,0.998716,0.000642,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,isolated,3,1,0,0,FN,0.0004,0.9992,0.0004,10,9,10,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,isolated,4,1,0,0,FN,0.000486,0.999029,0.000486,12,11,12,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,isolated,5,1,0,0,FN,0.000435,0.999131,0.000435,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,isolated,6,1,0,0,FN,0.000314,0.999372,0.000314,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,isolated,7,1,0,0,FN,0.000408,0.999183,0.000408,10,12,10,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,0,1,0,1,FN,0.710165,0.084004,0.710165,14,15,14,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,1,1,0,1,FN,0.759998,0.057601,0.759998,14,17,14,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,2,1,0,1,FN,0.664184,0.112773,0.664184,14,13,14,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,3,1,0,1,FN,0.659671,0.115824,0.659671,9,10,9,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,4,1,0,1,FN,0.665735,0.111733,0.665735,12,9,12,0,0,0,3
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,5,1,0,1,FN,0.991663,7e-05,0.991663,18,27,18,9,0,9,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,6,1,0,1,FN,0.619777,0.14457,0.619777,8,4,8,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_1,7,1,0,1,FN,0.731915,0.071869,0.731915,12,13,12,1,0,1,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,0,1,0,1,FN,0.99767,5e-06,0.99767,11,18,11,7,0,7,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,1,1,0,1,FN,0.999997,0.0,0.999997,15,32,15,17,0,17,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,2,1,0,1,FN,0.96957,0.000926,0.96957,10,5,10,0,0,0,5
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,3,1,0,1,FN,0.984064,0.000254,0.984064,8,6,8,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,4,1,0,1,FN,0.980979,0.000362,0.980979,17,17,17,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,5,1,0,1,FN,0.800845,0.039663,0.800845,17,15,17,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,6,1,0,1,FN,0.989946,0.000101,0.989946,12,15,12,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,scanner_blank_2,7,1,0,1,FN,0.999076,1e-06,0.999076,18,23,18,5,0,5,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,0,1,0,0,FN,0.089122,0.829699,0.089122,26,23,26,0,0,0,3
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,1,1,0,0,FN,0.461602,0.289872,0.461602,11,13,11,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,2,1,0,0,FN,0.425135,0.33047,0.425135,7,7,7,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,3,1,0,0,FN,0.300014,0.48998,0.300014,15,13,15,0,0,0,2
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,4,1,0,0,FN,0.371232,0.395349,0.371232,9,5,9,0,0,0,4
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,5,1,1,0,TP_wrongloc,0.999957,0.0,0.999957,12,35,31,23,19,4,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,6,1,0,0,FN,0.544445,0.20753,0.544445,11,14,11,3,0,3,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_1,7,1,0,0,FN,0.31125,0.474376,0.31125,15,14,15,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,0,1,0,0,FN,0.977725,0.000496,0.977725,13,15,13,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,1,1,0,0,FN,0.948696,0.002632,0.948696,13,4,13,0,0,0,9
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,2,1,0,0,FN,0.986645,0.000178,0.986645,9,11,9,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,3,1,0,0,FN,0.994681,2.8e-05,0.994681,8,5,8,0,0,0,3
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,4,1,0,0,FN,0.985125,0.000221,0.985125,11,10,11,0,0,0,1
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,5,1,0,0,FN,0.985502,0.00021,0.985502,9,11,9,2,0,2,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,6,1,0,0,FN,0.993192,4.6e-05,0.993192,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_row_delete_2,7,1,0,0,FN,0.997338,7e-06,0.997338,12,19,12,7,0,7,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,0,0,0,0,TN,0.000531,0.0,0.000531,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,1,0,0,0,TN,0.000363,0.0,0.000363,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,2,0,0,0,TN,0.00065,0.0,0.00065,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,3,0,0,0,TN,0.000628,0.0,0.000628,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,4,0,0,0,TN,0.000316,0.0,0.000316,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,5,0,0,0,TN,0.000326,0.0,0.000326,14,14,14,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,6,0,0,0,TN,0.000607,0.0,0.000607,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_1,7,0,0,0,TN,0.000285,0.0,0.000285,18,18,18,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,0,0,0,0,TN,0.000398,0.0,0.000398,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,1,0,0,0,TN,0.000487,0.0,0.000487,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,2,0,0,0,TN,0.000513,0.0,0.000513,15,15,15,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,3,0,0,0,TN,0.000501,0.0,0.000501,2,2,2,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,4,0,0,0,TN,0.000492,0.0,0.000492,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,5,0,0,0,TN,0.000651,0.0,0.000651,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,6,0,0,0,TN,0.000337,0.0,0.000337,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_misread_4,7,0,0,0,TN,0.000658,0.0,0.000658,16,16,16,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,0,0,0,0,TN,0.000916,1e-06,0.000916,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,1,0,0,0,TN,0.00114,1e-06,0.00114,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,2,0,0,0,TN,0.00062,0.0,0.00062,25,25,25,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,3,0,0,0,TN,0.000729,1e-06,0.000729,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,4,0,0,0,TN,0.000819,1e-06,0.000819,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,5,0,0,0,TN,0.000523,0.0,0.000523,20,20,20,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,6,0,0,0,TN,0.000837,1e-06,0.000837,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_1,7,0,0,0,TN,0.001197,1e-06,0.001197,7,7,7,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,0,0,0,0,TN,0.002207,5e-06,0.002207,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,1,0,0,0,TN,0.001737,3e-06,0.001737,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,2,0,0,0,TN,0.00209,4e-06,0.00209,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,3,0,0,0,TN,0.002886,8e-06,0.002886,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,4,0,0,0,TN,0.001967,4e-06,0.001967,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,5,0,0,0,TN,0.003328,1.1e-05,0.003328,6,6,6,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,6,0,0,0,TN,0.002182,5e-06,0.002182,11,11,11,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_faint_4,7,0,0,0,TN,0.002901,8e-06,0.002901,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,0,0,0,0,TN,0.002766,8e-06,0.002766,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,1,0,0,0,TN,0.002092,4e-06,0.002092,14,14,14,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,2,0,0,0,TN,0.003674,1.3e-05,0.003674,7,7,7,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,3,0,0,0,TN,0.009871,9.7e-05,0.009871,7,7,7,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,4,0,0,0,TN,0.001918,4e-06,0.001918,10,10,10,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,5,0,0,0,TN,0.008563,7.3e-05,0.008563,5,5,5,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,6,0,0,0,TN,0.001669,3e-06,0.001669,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,scanner_double_4,7,0,0,0,TN,0.003032,9e-06,0.003032,9,9,9,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,0,0,0,0,TN,0.000697,0.0,0.000697,16,16,16,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,1,0,0,0,TN,0.000472,0.0,0.000472,13,13,13,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,2,0,0,0,TN,0.000458,0.0,0.000458,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,3,0,0,0,TN,0.000414,0.0,0.000414,7,7,7,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,4,0,0,0,TN,0.000443,0.0,0.000443,8,8,8,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,5,0,0,0,TN,0.000379,0.0,0.000379,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,6,0,0,0,TN,0.000351,0.0,0.000351,12,12,12,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_long_runs,7,0,0,0,TN,0.000464,0.0,0.000464,19,19,19,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,0,0,0,0,TN,5.1e-05,0.0,5.1e-05,33,33,33,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,1,0,0,0,TN,7.9e-05,0.0,7.9e-05,34,34,34,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,2,0,0,0,TN,8e-05,0.0,8e-05,28,28,28,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,3,0,0,0,TN,0.000186,0.0,0.000186,28,28,28,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,4,0,0,0,TN,9.4e-05,0.0,9.4e-05,29,29,29,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,5,0,0,0,TN,0.000368,0.0,0.000368,22,22,22,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,6,0,0,0,TN,5.8e-05,0.0,5.8e-05,34,34,34,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_favourite,7,0,0,0,TN,7.2e-05,0.0,7.2e-05,30,30,30,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,0,0,0,0,TN,0.000106,0.0,0.000106,25,25,25,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,1,0,0,0,TN,0.000414,0.0,0.000414,26,26,26,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,2,0,0,0,TN,8.2e-05,0.0,8.2e-05,31,31,31,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,3,0,0,0,TN,0.001334,2e-06,0.001334,22,22,22,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,4,0,0,0,TN,8e-05,0.0,8e-05,27,27,27,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,5,0,0,0,TN,0.00044,0.0,0.00044,24,24,24,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,6,0,0,0,TN,9.4e-05,0.0,9.4e-05,29,29,29,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_easy_block,7,0,0,0,TN,0.000133,0.0,0.000133,27,27,27,0,0,0,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,0,1,0,0,FN,0.999985,0.0,0.999985,11,45,11,34,0,34,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,1,1,0,0,FN,0.999982,0.0,0.999982,11,45,11,34,0,34,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,2,1,0,0,FN,0.992996,4.9e-05,0.992996,11,44,11,33,0,33,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,3,1,0,0,FN,0.999986,0.0,0.999986,12,45,12,33,0,33,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,4,1,0,0,FN,0.999966,0.0,0.999966,14,45,14,31,0,31,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,5,1,0,0,FN,0.999989,0.0,0.999989,9,45,9,36,0,36,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,6,1,0,0,FN,0.999991,0.0,0.999991,11,45,11,34,0,34,0
metrics,gated,metrics,ABCD,46,0.26,adv_key_leakage,7,1,0,0,FN,0.983581,0.00027,0.983581,12,44,12,32,0,32,0
