dataset,detector,policy,options,length,ability,mechanism,n,n_target,n_clean,tp_correct,tp_wrongloc,fp,fn,tn,power,recall_all,fpr,fpr_ci_upper,brier,mse,recovery,at_stake,saved,saved_sheets,unearned
sweep,gated,very_conservative,ABCD,100,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.080186,0.101818,,0,0,8,0
sweep,gated,very_conservative,ABCD,100,0.85,row_skip_1,8,8,0,4,1,0,3,0,0.5,0.625,,,0.059035,0.909284,0.761111,180,137,8,0
sweep,gated,very_conservative,ABCD,100,0.85,double_shift,8,8,0,2,1,0,5,0,0.25,0.375,,,0.0,1.0,0.262626,297,78,8,0
sweep,gated,very_conservative,ABCD,100,0.85,self_corrected,8,8,0,5,0,0,3,0,0.625,0.625,,,0.0002,0.994945,0.456311,103,47,8,0
sweep,gated,very_conservative,ABCD,100,0.85,scanner_blank_1,8,8,0,6,0,0,2,0,0.75,0.75,,,0.0,0.999972,0.878378,222,195,8,0
sweep,gated,very_conservative,ABCD,100,0.85,whole_section,8,8,0,4,1,0,3,0,0.5,0.625,,,0.129075,0.847349,0.78169,142,111,8,5
sweep,gated,very_conservative,ABCD,150,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,2.6e-05,0.003062,,0,0,8,0
sweep,gated,very_conservative,ABCD,150,0.55,row_skip_1,8,8,0,3,2,0,3,0,0.375,0.625,,,0.249073,0.750374,0.701754,171,120,8,16
sweep,gated,very_conservative,ABCD,150,0.55,double_shift,8,8,0,2,1,0,5,0,0.25,0.375,,,0.226006,0.726536,0.284916,179,51,8,0
sweep,gated,very_conservative,ABCD,150,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.969027,0.015776,0.0,29,0,8,2
sweep,gated,very_conservative,ABCD,150,0.55,scanner_blank_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.018502,0.934555,0.877193,171,150,8,1
sweep,gated,very_conservative,ABCD,150,0.55,whole_section,8,8,0,5,2,0,1,0,0.625,0.875,,,0.12406,0.875463,0.596491,171,102,8,0
sweep,gated,very_conservative,ABCD,150,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.123208,0.125089,,0,0,8,0
sweep,gated,very_conservative,ABCD,150,0.7,row_skip_1,8,8,0,2,1,0,5,0,0.25,0.375,,,0.272541,0.682449,0.697987,149,104,8,0
sweep,gated,very_conservative,ABCD,150,0.7,double_shift,8,8,0,1,0,0,7,0,0.125,0.125,,,0.284236,0.68107,0.153558,267,41,8,0
sweep,gated,very_conservative,ABCD,150,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.152275,0.744804,0.0,67,0,8,0
sweep,gated,very_conservative,ABCD,150,0.7,scanner_blank_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.012334,0.955262,0.807407,135,109,8,2
sweep,gated,very_conservative,ABCD,150,0.7,whole_section,8,8,0,4,1,0,3,0,0.5,0.625,,,0.124463,0.871269,0.731183,186,136,8,4
sweep,gated,very_conservative,ABCD,150,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.146228,0.186075,,0,0,8,0
sweep,gated,very_conservative,ABCD,150,0.85,row_skip_1,8,8,0,2,4,0,2,0,0.25,0.75,,,0.123494,0.82516,0.89313,262,234,8,3
sweep,gated,very_conservative,ABCD,150,0.85,double_shift,8,8,0,4,0,0,4,0,0.5,0.5,,,0.0,1.0,0.577342,459,265,8,0
sweep,gated,very_conservative,ABCD,150,0.85,self_corrected,8,8,0,4,0,0,4,0,0.5,0.5,,,0.321619,0.654993,0.506849,73,37,8,0
sweep,gated,very_conservative,ABCD,150,0.85,scanner_blank_1,8,8,0,5,0,0,3,0,0.625,0.625,,,0.000169,0.995409,0.833333,282,235,8,0
sweep,gated,very_conservative,ABCD,150,0.85,whole_section,8,8,0,1,4,0,3,0,0.125,0.625,,,0.121974,0.876522,0.795652,230,183,8,4
sweep,gated,very_conservative,ABCDE,46,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,35,0,8,4
sweep,gated,very_conservative,ABCDE,46,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,78,0,8,9
sweep,gated,very_conservative,ABCDE,46,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,69,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.55,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,67,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,37,0,8,1
sweep,gated,very_conservative,ABCDE,46,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.7,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,32,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.7,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,94,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,55,0,8,6
sweep,gated,very_conservative,ABCDE,46,0.7,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,48,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.7,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,72,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.85,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,90,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.85,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,104,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.85,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,58,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.85,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,135,0,8,0
sweep,gated,very_conservative,ABCDE,46,0.85,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,87,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,116,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,193,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,45,0,8,5
sweep,gated,very_conservative,ABCDE,100,0.55,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,148,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,103,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.7,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,147,0,8,4
sweep,gated,very_conservative,ABCDE,100,0.7,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,246,0,8,2
sweep,gated,very_conservative,ABCDE,100,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,75,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.7,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,109,0,8,3
sweep,gated,very_conservative,ABCDE,100,0.7,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,92,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.85,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,133,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.85,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,245,0,8,1
sweep,gated,very_conservative,ABCDE,100,0.85,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,59,0,8,2
sweep,gated,very_conservative,ABCDE,100,0.85,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,139,0,8,0
sweep,gated,very_conservative,ABCDE,100,0.85,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,142,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,223,0,8,3
sweep,gated,very_conservative,ABCDE,150,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,217,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,47,0,8,2
sweep,gated,very_conservative,ABCDE,150,0.55,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,169,0,8,9
sweep,gated,very_conservative,ABCDE,150,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,170,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.7,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,244,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.7,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,283,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,33,0,8,1
sweep,gated,very_conservative,ABCDE,150,0.7,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,318,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.7,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,182,0,8,2
sweep,gated,very_conservative,ABCDE,150,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.85,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,405,0,8,3
sweep,gated,very_conservative,ABCDE,150,0.85,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,264,0,8,12
sweep,gated,very_conservative,ABCDE,150,0.85,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,62,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.85,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,337,0,8,0
sweep,gated,very_conservative,ABCDE,150,0.85,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,304,0,8,0
sweep,gated,conservative,ABCD,46,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000288,,0,0,8,0
sweep,gated,conservative,ABCD,46,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,0.926964,0.038492,0.0,36,0,8,1
sweep,gated,conservative,ABCD,46,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,0.902969,0.051936,0.0,68,0,8,0
sweep,gated,conservative,ABCD,46,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.972126,0.014522,0.0,33,0,8,0
sweep,gated,conservative,ABCD,46,0.55,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.194941,0.708025,0.392857,28,11,8,4
sweep,gated,conservative,ABCD,46,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,0.970044,0.015349,0.0,31,0,8,4
sweep,gated,conservative,ABCD,46,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.101606,0.159374,,0,0,8,0
sweep,gated,conservative,ABCD,46,0.7,row_skip_1,8,8,0,0,1,0,7,0,0.0,0.125,,,0.355483,0.626741,0.116667,60,7,8,1
sweep,gated,conservative,ABCD,46,0.7,double_shift,8,8,0,2,0,0,6,0,0.25,0.25,,,0.354434,0.633931,0.313131,99,31,8,9
sweep,gated,conservative,ABCD,46,0.7,self_corrected,8,8,0,1,0,0,7,0,0.125,0.125,,,0.619173,0.327893,0.145833,48,7,8,0
sweep,gated,conservative,ABCD,46,0.7,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.024209,0.909472,0.297297,37,11,8,1
sweep,gated,conservative,ABCD,46,0.7,whole_section,8,8,0,1,0,0,7,0,0.125,0.125,,,0.239412,0.731731,0.132353,68,9,8,3
sweep,gated,conservative,ABCD,46,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,4.7e-05,,0,0,8,0
sweep,gated,conservative,ABCD,46,0.85,row_skip_1,8,8,0,3,0,0,5,0,0.375,0.375,,,0.279867,0.687755,0.581395,86,50,8,8
sweep,gated,conservative,ABCD,46,0.85,double_shift,8,8,0,3,1,0,4,0,0.375,0.5,,,0.120221,0.876764,0.442478,113,50,8,4
sweep,gated,conservative,ABCD,46,0.85,self_corrected,8,8,0,6,0,0,2,0,0.75,0.75,,,0.120273,0.857476,0.7625,80,61,8,1
sweep,gated,conservative,ABCD,46,0.85,scanner_blank_1,8,8,0,2,0,0,6,0,0.25,0.25,,,0.052386,0.91835,0.509434,53,27,8,0
sweep,gated,conservative,ABCD,46,0.85,whole_section,8,8,0,1,0,0,7,0,0.125,0.125,,,0.249159,0.724852,0.220339,59,13,8,6
sweep,gated,conservative,ABCD,100,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.0,0.000239,,0,0,8,0
sweep,gated,conservative,ABCD,100,0.55,row_skip_1,8,8,0,1,2,0,5,0,0.125,0.375,,,0.62041,0.377307,0.804124,97,78,8,5
sweep,gated,conservative,ABCD,100,0.55,double_shift,8,8,0,1,0,0,7,0,0.125,0.125,,,0.471944,0.465996,0.10687,131,14,8,5
sweep,gated,conservative,ABCD,100,0.55,self_corrected,8,8,0,1,0,0,7,0,0.125,0.125,,,0.660605,0.263338,0.325,40,13,8,2
sweep,gated,conservative,ABCD,100,0.55,scanner_blank_1,8,8,0,1,0,0,7,0,0.125,0.125,,,0.116022,0.815623,0.571429,70,40,8,7
sweep,gated,conservative,ABCD,100,0.55,whole_section,8,8,0,1,2,0,5,0,0.125,0.375,,,0.438869,0.527056,0.463415,82,38,8,0
sweep,gated,conservative,ABCD,100,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.00013,0.004878,,0,0,8,0
sweep,gated,conservative,ABCD,100,0.7,row_skip_1,8,8,0,1,1,0,6,0,0.125,0.25,,,0.427568,0.538611,0.544554,101,55,8,0
sweep,gated,conservative,ABCD,100,0.7,double_shift,8,8,0,5,0,0,3,0,0.625,0.625,,,0.122479,0.876267,0.519481,231,120,8,0
sweep,gated,conservative,ABCD,100,0.7,self_corrected,8,8,0,2,0,0,6,0,0.25,0.25,,,0.265753,0.638636,0.306667,75,23,8,0
sweep,gated,conservative,ABCD,100,0.7,scanner_blank_1,8,8,0,6,0,0,2,0,0.75,0.75,,,3.1e-05,0.99801,0.846995,183,155,8,0
sweep,gated,conservative,ABCD,100,0.7,whole_section,8,8,0,4,1,0,3,0,0.5,0.625,,,0.12279,0.871913,0.676259,139,94,8,2
sweep,gated,conservative,ABCD,100,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.080186,0.101818,,0,0,8,0
sweep,gated,conservative,ABCD,100,0.85,row_skip_1,8,8,0,4,1,0,3,0,0.5,0.625,,,0.059035,0.909284,0.811111,180,146,8,0
sweep,gated,conservative,ABCD,100,0.85,double_shift,8,8,0,2,1,0,5,0,0.25,0.375,,,0.0,1.0,0.286195,297,85,8,0
sweep,gated,conservative,ABCD,100,0.85,self_corrected,8,8,0,7,0,0,1,0,0.875,0.875,,,0.0002,0.994945,0.708738,103,73,8,0
sweep,gated,conservative,ABCD,100,0.85,scanner_blank_1,8,8,0,6,0,0,2,0,0.75,0.75,,,0.0,0.999972,0.900901,222,200,8,0
sweep,gated,conservative,ABCD,100,0.85,whole_section,8,8,0,4,1,0,3,0,0.5,0.625,,,0.129075,0.847349,0.809859,142,115,8,5
sweep,gated,conservative,ABCD,150,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,2.6e-05,0.003062,,0,0,8,0
sweep,gated,conservative,ABCD,150,0.55,row_skip_1,8,8,0,3,2,0,3,0,0.375,0.625,,,0.249073,0.750374,0.766082,171,131,8,16
sweep,gated,conservative,ABCD,150,0.55,double_shift,8,8,0,2,1,0,5,0,0.25,0.375,,,0.226006,0.726536,0.329609,179,59,8,0
sweep,gated,conservative,ABCD,150,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.969027,0.015776,0.0,29,0,8,2
sweep,gated,conservative,ABCD,150,0.55,scanner_blank_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.018502,0.934555,0.894737,171,153,8,2
sweep,gated,conservative,ABCD,150,0.55,whole_section,8,8,0,5,2,0,1,0,0.625,0.875,,,0.12406,0.875463,0.678363,171,116,8,0
sweep,gated,conservative,ABCD,150,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.123208,0.125089,,0,0,8,0
sweep,gated,conservative,ABCD,150,0.7,row_skip_1,8,8,0,2,1,0,5,0,0.25,0.375,,,0.272541,0.682449,0.731544,149,109,8,0
sweep,gated,conservative,ABCD,150,0.7,double_shift,8,8,0,1,0,0,7,0,0.125,0.125,,,0.284236,0.68107,0.164794,267,44,8,0
sweep,gated,conservative,ABCD,150,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.152275,0.744804,0.0,67,0,8,0
sweep,gated,conservative,ABCD,150,0.7,scanner_blank_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.012334,0.955262,0.866667,135,117,8,2
sweep,gated,conservative,ABCD,150,0.7,whole_section,8,8,0,4,1,0,3,0,0.5,0.625,,,0.124463,0.871269,0.790323,186,147,8,4
sweep,gated,conservative,ABCD,150,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.146228,0.186075,,0,0,8,0
sweep,gated,conservative,ABCD,150,0.85,row_skip_1,8,8,0,2,4,0,2,0,0.25,0.75,,,0.123494,0.82516,0.916031,262,240,8,3
sweep,gated,conservative,ABCD,150,0.85,double_shift,8,8,0,4,0,0,4,0,0.5,0.5,,,0.0,1.0,0.59695,459,274,8,0
sweep,gated,conservative,ABCD,150,0.85,self_corrected,8,8,0,4,0,0,4,0,0.5,0.5,,,0.321619,0.654993,0.60274,73,44,8,0
sweep,gated,conservative,ABCD,150,0.85,scanner_blank_1,8,8,0,5,0,0,3,0,0.625,0.625,,,0.000169,0.995409,0.843972,282,238,8,0
sweep,gated,conservative,ABCD,150,0.85,whole_section,8,8,0,1,4,0,3,0,0.125,0.625,,,0.121974,0.876522,0.821739,230,189,8,4
sweep,gated,conservative,ABCDE,46,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,conservative,ABCDE,46,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,35,0,8,4
sweep,gated,conservative,ABCDE,46,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,78,0,8,9
sweep,gated,conservative,ABCDE,46,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,69,0,8,0
sweep,gated,conservative,ABCDE,46,0.55,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,67,0,8,0
sweep,gated,conservative,ABCDE,46,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,37,0,8,1
sweep,gated,conservative,ABCDE,46,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,conservative,ABCDE,46,0.7,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,32,0,8,0
sweep,gated,conservative,ABCDE,46,0.7,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,94,0,8,0
sweep,gated,conservative,ABCDE,46,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,55,0,8,6
sweep,gated,conservative,ABCDE,46,0.7,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,48,0,8,0
sweep,gated,conservative,ABCDE,46,0.7,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,72,0,8,0
sweep,gated,conservative,ABCDE,46,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,conservative,ABCDE,46,0.85,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,90,0,8,0
sweep,gated,conservative,ABCDE,46,0.85,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,104,0,8,0
sweep,gated,conservative,ABCDE,46,0.85,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,58,0,8,0
sweep,gated,conservative,ABCDE,46,0.85,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,135,0,8,0
sweep,gated,conservative,ABCDE,46,0.85,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,87,0,8,0
sweep,gated,conservative,ABCDE,100,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,,0,0,8,0
sweep,gated,conservative,ABCDE,100,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,116,0,8,0
sweep,gated,conservative,ABCDE,100,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,193,0,8,0
sweep,gated,conservative,ABCDE,100,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,45,0,8,5
sweep,gated,conservative,ABCDE,100,0.55,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,148,0,8,0
sweep,gated,conservative,ABCDE,100,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0.0,103,0,8,0
