dataset,detector,policy,options,length,ability,mechanism,n,n_target,n_clean,tp_correct,tp_wrongloc,fp,fn,tn,power,recall_all,fpr,fpr_ci_upper,brier,mse,n_scored,recovery,at_stake,saved,saved_sheets,unearned
sweep,gated,balanced,ABCD,46,0.7,scanner_blank_1,8,8,0,2,0,0,6,0,0.25,0.25,,,0.005708,0.925762,8,0.405405,37,15,8,1
sweep,gated,balanced,ABCD,46,0.7,whole_section,8,8,0,3,0,0,5,0,0.375,0.375,,,9.8e-05,0.990552,8,0.376812,69,26,8,3
sweep,gated,balanced,ABCD,46,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,1.3e-05,1.3e-05,8,,0,0,8,0
sweep,gated,balanced,ABCD,46,0.85,row_skip_1,8,8,0,5,0,0,3,0,0.625,0.625,,,0.139232,0.798703,8,0.818182,88,72,8,7
sweep,gated,balanced,ABCD,46,0.85,double_shift,8,8,0,2,2,0,4,0,0.25,0.5,,,0.003591,0.961209,8,0.40708,113,46,8,0
sweep,gated,balanced,ABCD,46,0.85,self_corrected,8,8,0,6,0,0,2,0,0.75,0.75,,,0.001194,0.974845,8,0.775,80,62,8,1
sweep,gated,balanced,ABCD,46,0.85,scanner_blank_1,8,8,0,2,0,0,6,0,0.25,0.25,,,0.036346,0.89936,8,0.54717,53,29,8,0
sweep,gated,balanced,ABCD,46,0.85,whole_section,8,8,0,3,0,0,5,0,0.375,0.375,,,0.019321,0.892375,8,0.508197,61,31,8,6
sweep,gated,balanced,ABCD,100,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.001728,0.001728,8,,0,0,8,0
sweep,gated,balanced,ABCD,100,0.55,row_skip_1,8,8,0,3,0,0,5,0,0.375,0.375,,,0.411331,0.47802,8,0.78,100,78,8,4
sweep,gated,balanced,ABCD,100,0.55,double_shift,8,8,0,0,1,0,7,0,0.0,0.125,,,0.055366,0.876109,8,0.091603,131,12,8,5
sweep,gated,balanced,ABCD,100,0.55,self_corrected,8,8,0,1,0,0,7,0,0.125,0.125,,,0.270154,0.611196,8,0.325,40,13,8,2
sweep,gated,balanced,ABCD,100,0.55,scanner_blank_1,8,8,0,2,0,0,6,0,0.25,0.25,,,0.01742,0.859276,8,0.628571,70,44,8,7
sweep,gated,balanced,ABCD,100,0.55,whole_section,8,8,0,3,1,0,4,0,0.375,0.5,,,0.147981,0.686975,8,0.547619,84,46,8,0
sweep,gated,balanced,ABCD,100,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.056597,0.056597,8,,0,0,8,0
sweep,gated,balanced,ABCD,100,0.7,row_skip_1,8,8,0,3,0,0,5,0,0.375,0.375,,,0.151759,0.75802,8,0.656863,102,67,8,0
sweep,gated,balanced,ABCD,100,0.7,double_shift,8,8,0,3,0,0,5,0,0.375,0.375,,,0.000596,0.983335,8,0.363636,231,84,8,0
sweep,gated,balanced,ABCD,100,0.7,self_corrected,8,8,0,2,0,0,6,0,0.25,0.25,,,0.046565,0.830496,8,0.306667,75,23,8,0
sweep,gated,balanced,ABCD,100,0.7,scanner_blank_1,8,8,0,6,0,0,2,0,0.75,0.75,,,1e-06,0.999439,8,0.836066,183,153,8,0
sweep,gated,balanced,ABCD,100,0.7,whole_section,8,8,0,6,0,0,2,0,0.75,0.75,,,0.002087,0.969768,8,0.785714,140,110,8,2
sweep,gated,balanced,ABCD,100,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.217996,0.217996,8,,0,0,8,0
sweep,gated,balanced,ABCD,100,0.85,row_skip_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.0,0.99997,8,0.60989,182,111,8,0
sweep,gated,balanced,ABCD,100,0.85,double_shift,8,8,0,2,1,0,5,0,0.25,0.375,,,0.0,1.0,8,0.313131,297,93,8,0
sweep,gated,balanced,ABCD,100,0.85,self_corrected,8,8,0,8,0,0,0,0,1.0,1.0,,,0.0,0.999942,8,0.796117,103,82,8,0
sweep,gated,balanced,ABCD,100,0.85,scanner_blank_1,8,8,0,7,0,0,1,0,0.875,0.875,,,0.0,0.999935,8,0.959459,222,213,8,0
sweep,gated,balanced,ABCD,100,0.85,whole_section,8,8,0,4,1,0,3,0,0.5,0.625,,,0.000224,0.989615,8,0.843537,147,124,8,4
sweep,gated,balanced,ABCD,150,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.182661,0.182661,8,,0,0,8,0
sweep,gated,balanced,ABCD,150,0.55,row_skip_1,8,8,0,6,0,0,2,0,0.75,0.75,,,0.126055,0.780944,8,0.867816,174,151,8,15
sweep,gated,balanced,ABCD,150,0.55,double_shift,8,8,0,2,1,0,5,0,0.25,0.375,,,0.04682,0.849511,8,0.240223,179,43,8,0
sweep,gated,balanced,ABCD,150,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,0.335463,0.395615,8,0.0,29,0,8,2
sweep,gated,balanced,ABCD,150,0.55,scanner_blank_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.003318,0.952643,8,0.818713,171,140,8,1
sweep,gated,balanced,ABCD,150,0.55,whole_section,8,8,0,5,0,0,3,0,0.625,0.625,,,0.006512,0.949449,8,0.606936,173,105,8,0
sweep,gated,balanced,ABCD,150,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.151448,0.151448,8,,0,0,8,0
sweep,gated,balanced,ABCD,150,0.7,row_skip_1,8,8,0,3,0,0,5,0,0.375,0.375,,,0.022753,0.903076,8,0.753333,150,113,8,0
sweep,gated,balanced,ABCD,150,0.7,double_shift,8,8,0,1,0,0,7,0,0.125,0.125,,,0.06036,0.812571,8,0.168539,267,45,8,0
sweep,gated,balanced,ABCD,150,0.7,self_corrected,8,8,0,4,0,0,4,0,0.5,0.5,,,0.034644,0.896048,8,0.313433,67,21,8,0
sweep,gated,balanced,ABCD,150,0.7,scanner_blank_1,8,8,0,4,0,0,4,0,0.5,0.5,,,0.000131,0.989442,8,0.837037,135,113,8,3
sweep,gated,balanced,ABCD,150,0.7,whole_section,8,8,0,5,0,0,3,0,0.625,0.625,,,0.070393,0.882744,8,0.819149,188,154,8,4
sweep,gated,balanced,ABCD,150,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,0.28196,0.28196,8,,0,0,8,0
sweep,gated,balanced,ABCD,150,0.85,row_skip_1,8,8,0,5,1,0,2,0,0.625,0.75,,,0.000593,0.982904,8,0.954373,263,251,8,3
sweep,gated,balanced,ABCD,150,0.85,double_shift,8,8,0,4,0,0,4,0,0.5,0.5,,,0.0,1.0,8,0.601307,459,276,8,0
sweep,gated,balanced,ABCD,150,0.85,self_corrected,8,8,0,5,0,0,3,0,0.625,0.625,,,0.043945,0.835111,8,0.712329,73,52,8,0
sweep,gated,balanced,ABCD,150,0.85,scanner_blank_1,8,8,0,5,0,0,3,0,0.625,0.625,,,5.2e-05,0.994958,8,0.847518,282,239,8,2
sweep,gated,balanced,ABCD,150,0.85,whole_section,8,8,0,6,0,0,2,0,0.75,0.75,,,0.001199,0.976712,8,0.883117,231,204,8,4
sweep,gated,balanced,ABCDE,46,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,0,,0,0,8,0
sweep,gated,balanced,ABCDE,46,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,36,0,8,4
sweep,gated,balanced,ABCDE,46,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,78,0,8,9
sweep,gated,balanced,ABCDE,46,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,69,0,8,0
sweep,gated,balanced,ABCDE,46,0.55,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,67,0,8,0
sweep,gated,balanced,ABCDE,46,0.55,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,37,0,8,1
sweep,gated,balanced,ABCDE,46,0.7,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,0,,0,0,8,0
sweep,gated,balanced,ABCDE,46,0.7,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,33,0,8,0
sweep,gated,balanced,ABCDE,46,0.7,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,94,0,8,0
sweep,gated,balanced,ABCDE,46,0.7,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,55,0,8,6
sweep,gated,balanced,ABCDE,46,0.7,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,48,0,8,0
sweep,gated,balanced,ABCDE,46,0.7,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,72,0,8,0
sweep,gated,balanced,ABCDE,46,0.85,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,0,,0,0,8,0
sweep,gated,balanced,ABCDE,46,0.85,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,92,0,8,0
sweep,gated,balanced,ABCDE,46,0.85,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,104,0,8,0
sweep,gated,balanced,ABCDE,46,0.85,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,58,0,8,0
sweep,gated,balanced,ABCDE,46,0.85,scanner_blank_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,135,0,8,0
sweep,gated,balanced,ABCDE,46,0.85,whole_section,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,90,0,8,0
sweep,gated,balanced,ABCDE,100,0.55,none,8,0,8,0,0,0,0,8,,,0.0,0.312344,,,0,,0,0,8,0
sweep,gated,balanced,ABCDE,100,0.55,row_skip_1,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,117,0,8,0
sweep,gated,balanced,ABCDE,100,0.55,double_shift,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,193,0,8,0
sweep,gated,balanced,ABCDE,100,0.55,self_corrected,8,8,0,0,0,0,8,0,0.0,0.0,,,,,0,0.0,45,0,8,5
